German,English
sogenannt,so -called
Chance,chance
gewiss,certainly
innerhalb,within
Kunst,art
Lage,location
Schüler,pupils
gesamt,total
Druck,Print
verschwinden,disappear
wohnen,reside
bewegen,move
enthalten,contain
aufnehmen,"record, tape"
Kosten,Costs
Wintersemester,Winter semester
merken,notice
fest,Celebration
aktuell,currently
Begriff,expression
erleben,experience
relativ,relative
laut,according to
Fuß,Foot
Daten,Data
Krieg,War
Gast,Guest
Aussage,expression
Gesetz,Law
planen,to plan
schwierig,difficult
Gut,Good
Kilometer,kilometre
zusätzlich,additionally
vergessen,forget
Gedanke,Thought
besitzen,own
ach,Oh
Partei,Political party
freuen,looking forward
hängen,hang
berichten,to report
Zelle,cell
eng,closely
Kultur,Culture
Prozess,process
Sohn,Son
Dank,Thanks to
trotz,despite
fordern,support financially
studieren,to study
gefallen,please
Mädchen,girl
verhalten,behave
mindestens,at least
ziemlich,pretty much
Interesse,interest
unterscheiden,differentiate
wobei,in which
jeweils,each
reichen,are sufficient
sieben,seven
zumindest,at least
schlagen,beat
Tier,animal
jedenfalls,in any case
am,at the
erhöhen,increase
sorgen,to care
Erfahrung,experience
Patient,patient
Morgen,morning
Arzt,physician
geschehen,happen
Bayern,Bavaria
